user,activity,timestamp_start,timestamp_end
1,5,4991922345000,4996892347000
1,5,4995692334000,5000602369000
1,5,4999402356000,5004372327000
1,5,5003172345000,5008102369000
1,5,5006902417000,5011872327000
1,5,5010672345000,5015642316000
1,5,5014442334000,5019392347000
1,5,5018192334000,5023122327000
1,5,5021922376000,5026852369000
1,5,5025692334000,5030632337000
1,5,5029422345000,5034392316000
1,5,5033192334000,5038122327000
1,5,5036922376000,5041852338000
1,5,5040652326000,5045622358000
1,5,5044422345000,5049392316000
1,5,5048192304000,5053102338000
1,5,5051902326000,5056882337000
1,5,5055682325000,5060602338000
1,5,5059402326000,5064372327000
1,5,5063172345000,5068142316000
1,5,5066942304000,5071892347000
1,5,5070692304000,5075602338000
1,5,5074402326000,5079382337000
1,5,5078182325000,5083102338000
1,5,5081902326000,5086872327000
1,5,5085672345000,5090642316000
1,5,5089442395000,5094392316000
1,5,5093192304000,5098122327000
1,5,5096922345000,5101852338000
1,5,5100652326000,5105622358000
1,5,5104422345000,5109392316000
1,5,5108192304000,5113102338000
1,5,5111902326000,5116882337000
1,5,5115682294000,5120602338000
1,5,5119402326000,5124372327000
1,5,5123172376000,5128142377000
1,5,5126922345000,5131892316000
1,5,5130692304000,5135662122000
1,5,5134402326000,5139372297000
1,5,5138172345000,5143142316000
1,5,5141942304000,5146892347000
1,5,5145692304000,5150622266000
1,5,5149402326000,5154372297000
1,5,5153172345000,5158142316000
1,5,5156942304000,5161852338000
1,5,5160652326000,5165642255000
1,5,5164422345000,5169392316000
1,5,5168192304000,5173112317000
1,5,5171902326000,5176892316000
1,5,5175682325000,5180622327000
1,5,5179402326000,5184372327000
1,5,5183172345000,5188142316000
1,5,5186942304000,5191892316000
1,5,5190692304000,5195612378000
1,5,5194402326000,5199372327000
1,5,5198172345000,5203142316000
1,5,5201942304000,5206892316000
1,5,5205692334000,5210622297000
1,5,5209402326000,5214372327000
1,5,5213172345000,5218142316000
1,5,5216942304000,5221852338000
1,5,5220652326000,5225642316000
1,5,5224422315000,5229352369000
1,5,5228152326000,5233142316000
1,5,5231922315000,5236892316000
1,5,5235692304000,5240622327000
1,5,5239402326000,5244372327000
1,5,5243172345000,5248122358000
1,5,5246902326000,5251872358000
1,5,5250672376000,5255602369000
1,5,5254442304000,5259352338000
1,5,5258152326000,5263142316000
1,5,5261922345000,5266852338000
1,5,5265652326000,5270602338000
1,5,5269422345000,5274352338000
1,5,5273152326000,5278142316000
1,5,5276922345000,5281852338000
1,5,5280652326000,5285642316000
1,5,5284442304000,5289392316000
1,5,5288192304000,5293122327000
1,5,5291902326000,5296872327000
1,5,5295672345000,5300642347000
1,5,5299442304000,5304392316000
1,5,5303192304000,5308122358000
1,5,5306902326000,5311872327000
1,5,5310672376000,5315602338000
1,5,5314442304000,5319352338000
1,5,5318152326000,5323142316000
1,5,5321922345000,5326852338000
1,5,5325692304000,5330642316000
1,1,5375862287000,5380802320000
1,1,5379602338000,5384562299000
1,1,5383362317000,5388292341000
1,1,5387092328000,5392062299000
1,1,5390852338000,5395782270000
1,1,5394612317000,5399542310000
1,1,5398362317000,5403312330000
1,1,5402092298000,5407062330000
1,1,5405862317000,5410792279000
1,1,5409612348000,5414523450000
1,1,5413362378000,5418312238000
1,1,5417102338000,5422032270000
1,1,5420842328000,5425802289000
1,1,5424602338000,5429523359000
1,1,5428352308000,5433312238000
1,1,5432102338000,5437052350000
1,1,5435842328000,5440792310000
1,1,5439592298000,5444542310000
1,1,5443362317000,5448302320000
1,1,5447102338000,5452042432000
1,1,5450842298000,5455792249000
1,1,5454592328000,5459542341000
1,1,5458332288000,5463292279000
1,1,5462112348000,5467052320000
1,1,5465852338000,5470792310000
1,1,5469602338000,5474516675000
1,1,5473362317000,5478312330000
1,1,5477112317000,5482023664000
1,1,5480862317000,5485802320000
1,1,5484612348000,5489542341000
1,1,5488342267000,5493312268000
1,1,5492112653000,5497032270000
1,1,5495813428000,5500802228000
1,1,5499582288000,5504552228000
1,1,5503342237000,5508302320000
1,1,5507072126000,5512012311000
1,1,5510815625000,5515802533000
1,1,5514612317000,5519542310000
1,1,5518352338000,5523312391000
1,1,5522112317000,5527032270000
1,1,5525842298000,5530782270000
1,1,5529612317000,5534542310000
1,1,5533342359000,5538312299000
1,1,5537112317000,5542042341000
1,1,5540842328000,5545792310000
1,1,5544612348000,5549559583000
1,1,5548342328000,5553312299000
1,1,5552092328000,5557042341000
1,1,5555842267000,5560792279000
1,1,5559612317000,5564542341000
1,1,5563342328000,5568312299000
1,1,5567102308000,5572042341000
1,1,5570842267000,5575812330000
1,1,5574592328000,5579542341000
1,1,5578362317000,5583312299000
1,1,5582112317000,5587042310000
1,1,5585842298000,5590812238000
1,1,5589602338000,5594562299000
1,1,5593362317000,5598292371000
1,1,5597092328000,5602042341000
1,1,5600842328000,5605792279000
1,1,5604612317000,5609562299000
1,1,5608362317000,5613312299000
1,1,5612112317000,5617042341000
1,1,5615842298000,5620802320000
1,1,5619602338000,5624562299000
1,5,5670502332000,5675452344000
1,5,5674252332000,5679182264000
1,5,5677972364000,5682922345000
1,5,5681722333000,5686682325000
1,5,5685482343000,5690422345000
1,5,5689252332000,5694172345000
1,5,5692972333000,5697942304000
1,5,5696742322000,5701672376000
1,5,5700472333000,5705432325000
1,5,5704232373000,5709202344000
1,5,5708002607000,5712922345000
1,5,5711722333000,5716682325000
1,5,5715472333000,5720452314000
1,5,5719252332000,5724172345000
1,5,5723002332000,5727932325000
1,5,5726732343000,5731672345000
1,5,5730502332000,5735442334000
1,5,5734232343000,5739202375000
1,5,5737992292000,5742952344000
1,5,5741752332000,5746702344000
1,5,5745502332000,5750432325000
1,5,5749222364000,5754182294000
1,5,5752982312000,5757952344000
1,5,5756732343000,5761692334000
1,5,5760492322000,5765462293000
1,5,5764252332000,5769172345000
1,5,5767972333000,5772932386000
1,5,5771732343000,5776702344000
1,5,5775502301000,5780422345000
1,5,5779222394000,5784182325000
1,5,5782982343000,5787932325000
1,5,5786732343000,5791702344000
1,5,5790502332000,5795422345000
1,5,5794222333000,5799182325000
1,5,5797982343000,5802932325000
1,5,5801732343000,5806702344000
1,5,5805502332000,5810422345000
1,5,5809252332000,5814182325000
1,5,5812982343000,5817932325000
1,5,5816732343000,5825622327000
1,5,5820502332000,5829382489000
1,5,5828232129000,5833152326000
1,5,5831952344000,5836892621000
1,5,5835672345000,5840652326000
1,5,5839442334000,5844382306000
1,5,5843172345000,5848132337000
1,5,5846932325000,5851862348000
1,5,5850702375000,5855632337000
1,5,5854422345000,5859392316000
1,5,5858192334000,5863152326000
1,5,5861952344000,5866872327000
1,5,5865672345000,5870632337000
1,5,5869432325000,5874382337000
1,5,5873182325000,5878152295000
1,5,5876952344000,5881872327000
1,5,5880672345000,5885642347000
1,5,5884442334000,5889372327000
1,5,5888192334000,5893132306000
1,5,5891932325000,5896882337000
1,5,5895682325000,5900652326000
